neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,1.33235,103.78521,1,81,0.0890890890890891,0.05863192182410423,0.7978474496958353,0.28,0.0,1.0
6,1.28875,103.80814,1,44,0.014014014014014014,0.05863192182410423,0.059897051941974734,0.23,0.11355311355311355,0.9068493150684932
6,1.28837,103.81099,1,40,0.02902902902902903,0.03257328990228013,0.1628451099672438,0.11,0.11355311355311355,0.7561643835616438
0,1.31125,103.83816,1,65,0.001001001001001001,0.40716612377850164,0.002339728591483388,1.35,0.018315018315018316,0.9205479452054794
6,1.28976,103.80896,1,44,0.02902902902902903,0.04234527687296417,0.09639681796911559,0.15,0.11355311355311355,0.9315068493150684
6,1.28677,103.81244,1,40,0.02902902902902903,0.03257328990228013,0.05708937763219467,0.14,0.11355311355311355,0.9068493150684932
6,1.28537,103.81087,1,31,0.0890890890890891,0.009771986970684038,0.5147402901263454,0.04,0.11355311355311355,0.989041095890411
2,1.3142,103.90232,1,81,0.0890890890890891,0.0,1.0,0.0,0.0,0.473972602739726
0,1.3115,103.83759,1,60,0.001001001001001001,0.2736156351791531,0.022461394478240523,1.17,0.018315018315018316,0.9315068493150684
0,1.31159,103.83805,1,60,0.001001001001001001,0.511400651465798,0.005615348619560131,1.75,0.018315018315018316,0.9561643835616438
0,1.29345,103.83562,1,56,0.0890890890890891,0.08794788273615635,0.3509592887225082,0.36,0.0,0.9972602739726028
0,1.33171,103.79383,0,276,0.003003003003003003,0.035830618892508145,0.27936359382311654,0.13,0.0,0.9917808219178083
4,1.30109,103.85234,1,167,0.17917917917917917,0.0,1.0,0.0,0.0,1.0
0,1.31016,103.79853,1,100,0.0890890890890891,0.09120521172638436,0.3486195601310248,0.33,0.0,0.2465753424657534
0,1.30901,103.79639,2,208,0.0,0.0,1.0,0.0,0.0,0.0
0,1.30377,103.89956,1,165,0.001001001001001001,0.22149837133550487,0.014974262985493684,0.83,0.014652014652014652,0.4575342465753425
0,1.34143,103.84945,1,51,0.09109109109109109,0.1563517915309446,0.0028076743097800653,0.61,0.0,0.4904109589041096
5,1.28315,103.84213,1,44,0.0890890890890891,0.006514657980456026,0.007487131492746842,0.02,0.4065934065934066,1.0
0,1.28342,103.78585,1,128,0.002002002002002002,0.0,1.0,0.0,0.0,1.0
6,1.28909,103.80749,1,40,0.02902902902902903,0.04234527687296417,0.005147402901263453,0.17,0.11355311355311355,0.9068493150684932
